Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
β-PCMOF-2,hydrogen,Yes,5.6�?.9 Å,1D channels,MOFs,Not Reported,Not Reported,Size exclusion,10.1007-s41061-019-0259-y_1747623574768200_zhang2019.json,"150 °C, anhydrous",Not Applicable,Used as a gas separator membrane for H2/air applications.,,,,,,,,
β-CD@UiO-68-azo,hydrogen,Yes,1.41 nm,3D cages,MOF membrane,Size exclusion and adsorption-diffusion synergistic effect,0.29 nm,Size exclusion,10.1039-d0ta05610c_1747624343659732_10.1039@D0TA05610C.json,"1 bar, room temperature",Not Applicable,Permeability: 111500 Barrer for β-CD@UiO-68-azo membrane,,,,,,,,
β-CD@UiO-68-azo,carbon dioxide,Conditional (see Additional Info),1.41 nm,3D cages,MOF membrane,Size exclusion and adsorption-diffusion synergistic effect,0.33 nm,Adsorption-diffusion,10.1039-d0ta05610c_1747624343659732_10.1039@D0TA05610C.json,"1 bar, room temperature",Not Applicable,Permeability: 1434 Barrer for β-CD@UiO-68-azo membrane,,,,,,,,
β-CD@UiO-68-azo,nitrogen,Yes,1.41 nm,3D cages,MOF membrane,Size exclusion and adsorption-diffusion synergistic effect,0.36 nm,Size exclusion,10.1039-d0ta05610c_1747624343659732_10.1039@D0TA05610C.json,"1 bar, room temperature",Not Applicable,Permeability: 2241 Barrer for β-CD@UiO-68-azo membrane,,,,,,,,
β-CD@UiO-68-azo,methane,Yes,1.41 nm,3D cages,MOF membrane,Size exclusion and adsorption-diffusion synergistic effect,0.38 nm,Size exclusion,10.1039-d0ta05610c_1747624343659732_10.1039@D0TA05610C.json,"1 bar, room temperature",Not Applicable,Permeability: 4750 Barrer for β-CD@UiO-68-azo membrane,,,,,,,,
α-Mg3(O2CH)6,tetrahydrofuran,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ed3000099_1747623932716356_rood2013.json,Not Reported,Not Applicable,Uptake confirmed by 1H NMR spectroscopy.,,,,,,,,
α-Mg3(O2CH)6,acetone,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ed3000099_1747623932716356_rood2013.json,Not Reported,Not Applicable,Uptake confirmed by 1H NMR spectroscopy.,,,,,,,,
α-Mg3(O2CH)6,benzene,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ed3000099_1747623932716356_rood2013.json,Not Reported,Not Applicable,"Uptake confirmed by 1H NMR spectroscopy, but with lower preference compared to tetrahydrofuran and acetone.",,,,,,,,
α-Mg3(O2CH)6,cyclohexane,No,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ed3000099_1747623932716356_rood2013.json,Not Reported,Not Applicable,"Excluded due to size, as confirmed by 1H NMR spectroscopy.",,,,,,,,
α-magnesium formate (α-MgFm),methanol,Yes,Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1021-acs.chemmater.0c03212_1747624290901234_10.1021@acs.chemmater.0c03212.json,"25 °C, methanol vapor concentration varied stepwise in the range 0�?.8 P/P0",Not Applicable,Adsorption capacity slightly lower for thin films compared to bulk powder.,,,,,,,,
