Materials Name,Molecule Name,Can Pass SievingSieving Mechanism,Mechanism,Test Conditions,Threshold Pressure,,
Y-fum-fcu-MOF,isopentane,No,Molecular sieving based on rigid pore apertures and size exclusion,Total size exclusion,293 K,Not Applicable,
α-Mg3(O2CH)6,benzene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
α-Mg3(O2CH)6,cyclohexane,No,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZUL-500,acetylene,Yes,Dynamic exclusion based on affinity difference between C2H2 and CO2,Competitive adsorption,"298 K, 1 bar",Not Applicable,
ZUL-500,carbon dioxide,Conditional (see Additional Info),Dynamic exclusion based on affinity difference between C2H2 and CO2,Competitive adsorption,"298 K, 1 bar",Not Applicable,
ZUL C6,3-methylpentane,Yes,Size exclusion at sub-nanometer scale combined with gate-opening for larger molecules,Size exclusion at sub-nanometer scale,"303 K, 1 bar",Not Applicable,
ZUL C6,"2,2-dimethylbutane",Conditional (see Additional Info),Size exclusion at sub-nanometer scale combined with gate-opening for larger molecules,Gate-opening effect,"303 K, 1 bar",16 kPa,
ZU-96,butadiene,Yes,Size exclusion and gate-opening effect based on flexible pore size tuning,Size exclusion at sub-nanometer scale,"298 K, 100 kPa",Not Applicable,
ZU-901 MOF,ethylene,Yes,Size exclusion at sub-nanometer scale,C-H···O hydrogen bonding,"273 K, 101 kPa",Not Applicable,
ZU-901 MOF,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 101 kPa",Not Applicable,
ZU-66,carbon dioxide,Yes,Size exclusion at sub-nanometer scale via temporarily fixed molecular rotors under ambient conditions,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
ZU-66,methane,No,Size exclusion at sub-nanometer scale via temporarily fixed molecular rotors under ambient conditions,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
ZU-62,1-pentene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 45 kPa",Not Applicable,
ZU-62,isoprene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, low pressure range (0�? kPa)",Not Applicable,
ZU-609,trans-2-butene,Yes,Size-exclusion at the shrunken mouth of the channel,Thermodynamic selectivity,"298 K, 1 bar",Not Applicable,
ZU-609,cis-2-butene,No,Size-exclusion at the shrunken mouth of the channel,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-609,isobutene,No,Size-exclusion at the shrunken mouth of the channel,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-609,isobutane,No,Size-exclusion at the shrunken mouth of the channel,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-609,propylene,Yes,Size/shape sieving based on cross-section size of the contraction falling between propylene and propane sizes.,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-609,propane,No,Size/shape sieving based on cross-section size of the contraction falling between propylene and propane sizes.,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-36-Ni,trans-2-butene,Yes,Enhanced molecular exclusion via adaptive pore channels,Size exclusion with optimal host–guest interactions,"298 K, 1 bar",Not Applicable,
ZU-36-Ni,cis-2-butene,No,Enhanced molecular exclusion via adaptive pore channels,Size exclusion due to contracted pore window,"298 K, 1 bar",Not Applicable,
ZU-36-Fe,trans-2-butene,Yes,Size exclusion and strong host–guest interactions for trans-C4H8,Typical Langmuir-type adsorption isotherm,"298 K, 1 bar",Not Applicable,
ZU-36-Fe,cis-2-butene,No,Size exclusion and strong host–guest interactions for trans-C4H8,Size exclusion due to contracted pore window,"298 K, 1 bar",Not Applicable,
ZU-36-Co,butane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-36-Co,isobutane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-36-Co,1-butene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-36-Co,isobutene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZU-36-Co,isobutane,No,Tunable pore size exclusion,size exclusion,"298 K, 1 bar",Not Applicable,
ZU-32,acetylene,Yes,Not Reported,Competitive adsorption,"298 K, 1 bar",Not Applicable,
ZU-32,carbon dioxide,Yes,Not Reported,Competitive adsorption,"298 K, 1 bar",Not Applicable,
ZU-301a,carbon dioxide,Yes,Narrow pore size effectively blocks CH4 while allowing CO2 to pass through,Electrostatic interactions and hydrogen bonding,"298 K, 5 bar",Not Applicable,
ZU-301a,methane,No,Narrow pore size effectively blocks CH4 while allowing CO2 to pass through,Size exclusion,"298 K, 5 bar",Not Applicable,
ZU-301,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
ZU-301,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
Zr-mes-FA,2-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-mes-FA,3-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-mes-FA,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-mes-FA,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-fum-fcu-MOF,isobutane,Conditional (see Additional Info),Defect-controlled molecular sieving,size exclusion,293 K,Not Applicable,
Zr-fum-fcu MOF,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
Zr-fum-FA,2-methylpentane,Temperature-dependent,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,Kinetic sieving,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-fum-FA,3-methylpentane,Temperature-dependent,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,Kinetic sieving,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-fum-FA,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-fum-FA,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale and kinetic sieving at higher temperatures,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Zr-fum-FA,propane,Yes,Size exclusion at sub-nanometer scale,Thermodynamic selectivity,"298 K, 1 bar",Not Applicable,
Zr-fum-FA,propylene,Yes,Size exclusion at sub-nanometer scale,Thermodynamic selectivity,"298 K, 1 bar",Not Applicable,
ZrFA-D-Cu(I),acetylene,Yes,Size exclusion with Cu(I)-enhanced interactions,Size exclusion with strong σ-π coordination to Cu(I),"298 K, 1 bar",Not Applicable,
ZrFA-D-Cu(I),ethylene,No,Size exclusion with Cu(I)-enhanced interactions,Size exclusion,"298 K, 1 bar",Not Applicable,
ZrFA-D-Cu(I),carbon dioxide,Yes,Size exclusion with Cu(I)-enhanced interactions,Size exclusion with Cu(I)-O interaction,"298 K, 1 bar",Not Applicable,
Zr-FA,acetylene,Yes,Size exclusion with defect-enhanced interactions,Size exclusion with enhanced affinity due to defects,"298 K, 1 bar",Not Applicable,
Zr-FA,ethylene,No,Size exclusion with defect-enhanced interactions,Size exclusion,"298 K, 1 bar",Not Applicable,
Zr-FA,carbon dioxide,Yes,Size exclusion with defect-enhanced interactions,Size exclusion with enhanced affinity due to defects,"298 K, 1 bar",Not Applicable,
Zr-FA,carbon dioxide,Yes,Size-discriminative molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
Zr-FA,methane,No,Size-discriminative molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
Zr-FA,acetylene,Yes,Size exclusion based on molecular dimensions,Size exclusion,"298 K, 1 bar",Not Applicable,
